Dataset,Seed,Alpha,L_RMSE,L_F1,L_AUPRC,L_RME_All,L_RME_Nz,E_RMSE,E_F1,E_AUPRC,E_RME_All,E_RME_Nz
Dataset_I,v9,0.1,0.2988863577218021,0.6666666666666666,0.5499999999999999,0.9483989289410035,0.9483989289410035,0.2313111344192776,0.5714285714285714,0.6257142857142857,0.9477464318646781,0.947727517933547
Dataset_I,v9,0.01,0.22306694783109324,0.3902439024390244,0.7866666666666666,0.9248905833345772,0.924603456173777,0.21932095753065112,0.3076923076923077,0.7815384615384615,0.9167902921858405,0.9161280013596451
Dataset_I,v9,0.001,0.3201051824749999,0.2857142857142857,0.6704385964912281,0.9094214162151103,0.9070881034486077,0.25842634322882313,0.21951219512195122,0.5531061872909699,0.936215814331322,0.9329587583163318
Dataset_II,v0,10.0,1.1209164770030917,0.0,0.05,0.9999999999923159,0.9999999999923159,1.1209164770030917,0.0,0.05,0.9999999999923159,0.9999999999923159
Dataset_II,v0,1.0,1.1209164770030917,0.0,0.05,0.9999999999923159,0.9999999999923159,0.9982463703080764,0.18181818181818182,0.145,0.9963630213483261,0.9963630213483261
Dataset_II,v0,0.1,0.3954543124818352,0.45454545454545453,0.32778296703296705,0.9724355006874803,0.9724300069012456,0.29041142950503623,0.5301204819277109,0.46185281385281385,0.9699281237747625,0.9699249892580493
Dataset_II,v0,0.01,0.19550091969025563,0.3620689655172414,0.4213361344537816,0.9614195443601806,0.9614044000859168,0.1900293556944249,0.3829787234042553,0.4765342077662059,0.9628559882515494,0.9628364716542323
Dataset_II,v0,0.001,0.18052761441441487,0.29931972789115646,0.41922917262656934,0.9606694254060072,0.9606448171395683,0.24508092177163468,0.3013698630136986,0.552644741959555,0.9725982117249212,0.9725486434579443
Dataset_II,v1,10.0,0.8104438729974359,0.0,0.05,0.9999999999919817,0.9999999999919817,0.8104438729974359,0.0,0.05,0.9999999999919817,0.9999999999919817
Dataset_II,v1,1.0,0.8104438729974359,0.0,0.05,0.9999999999919817,0.9999999999919817,0.7704159178745894,0.11320754716981132,0.10700000000000001,0.9988442987344833,0.9988442987344834
Dataset_II,v1,0.1,0.2766160916154556,0.48484848484848486,0.35400000000000004,0.9699158889478643,0.9699158889478645,0.24025759722091317,0.5454545454545454,0.4946419358941099,0.9670985367474688,0.967094753850942
Dataset_II,v1,0.01,0.24936858143506127,0.29457364341085274,0.3762283068783069,0.9615314825248715,0.961464976593682,0.2890636796577141,0.2875,0.4185474564038256,0.9654077972567243,0.9653073453413938
Dataset_II,v1,0.001,0.2683460790022765,0.2602739726027397,0.3405219094725864,0.9635319763216919,0.9633796916499563,0.34631770584736815,0.2857142857142857,0.4767302846956967,0.9734870594430085,0.9733141619813452
Dataset_II,v2,10.0,0.9083780772826231,0.0,0.05,0.9999999999927875,0.9999999999927875,0.9083780772826231,0.0,0.05,0.9999999999927875,0.9999999999927875
Dataset_II,v2,1.0,0.9083780772826231,0.0,0.05,0.9999999999927875,0.9999999999927875,0.8777519073309128,0.11320754716981132,0.10700000000000001,0.9996032860803522,0.9996032860803522
Dataset_II,v2,0.1,0.4024954586471016,0.3466666666666667,0.2907556561085973,0.9809806656401759,0.9809710131387135,0.42860383364434324,0.36893203883495146,0.36287264446503587,0.9781947248651766,0.9781349990316396
Dataset_II,v2,0.01,0.5504615473258122,0.2222222222222222,0.28510416666666666,0.9736025572493925,0.9734109349803692,0.5962990271535228,0.24561403508771928,0.3254988166439307,0.9750368761652113,0.9748045013428998
Dataset_II,v2,0.001,0.5872645812393781,0.21768707482993196,0.2528203211906772,0.9731430363057022,0.9728941729146393,0.5741329432801318,0.20588235294117646,0.3314757307115905,0.9806614461997112,0.9803892238238174
Dataset_II,v3,10.0,1.09048719614299,0.0,0.05,0.9999999999935266,0.9999999999935266,1.09048719614299,0.0,0.05,0.9999999999935266,0.9999999999935266
Dataset_II,v3,1.0,1.09048719614299,0.0,0.05,0.9999999999935266,0.9999999999935266,1.0598851644876872,0.07692307692307693,0.08800000000000001,0.9994820981650488,0.9994820981650488
Dataset_II,v3,0.1,0.4396823001162604,0.4,0.29279487179487185,0.9811649657183633,0.9811643472338861,0.36478602968446533,0.45544554455445546,0.4394950764648139,0.9786811537189511,0.9786717831954123
Dataset_II,v3,0.01,0.4031410273665871,0.23357664233576642,0.30936594232834835,0.9751252772268426,0.975036276688593,0.40343257651221287,0.23809523809523808,0.3512497534757622,0.9769480326755343,0.9768483922992882
Dataset_II,v3,0.001,0.44884866865882017,0.2191780821917808,0.306148226381636,0.9760007520191348,0.975865889997342,0.5296885663315575,0.21138211382113822,0.38458225599706486,0.9841230950597424,0.9839626533938027
Dataset_II,v4,10.0,0.9242162910312058,0.0,0.05,0.9999999999930985,0.9999999999930985,0.9242162910312058,0.0,0.05,0.9999999999930985,0.9999999999930985
Dataset_II,v4,1.0,0.9242162910312058,0.0,0.05,0.9999999999930985,0.9999999999930985,0.7963597808207775,0.18181818181818182,0.145,0.9977826116420854,0.9977826116420854
Dataset_II,v4,0.1,0.4239103026667216,0.37681159420289856,0.28644444444444445,0.9807220391829206,0.9807185748292419,0.42841093627930926,0.29357798165137616,0.3225816365007542,0.9802598813164272,0.9802200294083514
Dataset_II,v4,0.01,0.4311317799874204,0.21739130434782608,0.30269116494710724,0.9705554191186865,0.9704039842996961,0.5164786086265684,0.21965317919075145,0.32457954706684145,0.9756892443173597,0.9755125666497286
Dataset_II,v4,0.001,0.4847753822512171,0.21476510067114093,0.2926026051243443,0.9697878240690112,0.9695828707138673,0.605097465305392,0.18471337579617833,0.30103314502955425,0.9824432180248773,0.9822066983556837
Dataset_II,v5,10.0,0.969332271545969,0.0,0.05,0.9999999999923341,0.9999999999923341,0.969332271545969,0.0,0.05,0.9999999999923341,0.9999999999923341
Dataset_II,v5,1.0,0.969332271545969,0.0,0.05,0.9999999999923341,0.9999999999923341,0.8713671784976551,0.14814814814814814,0.126,0.9977075717268999,0.9977075717268999
Dataset_II,v5,0.1,0.2863378521845019,0.4375,0.3160000000000001,0.9809796386196403,0.9809796386196403,0.21124151468532518,0.5581395348837209,0.5021777777777778,0.9773578195500479,0.9773562250984511
Dataset_II,v5,0.01,0.20568895265980486,0.3728813559322034,0.4333269454123113,0.9703329199559176,0.9703127671807932,0.21755843592230856,0.3708609271523179,0.5167514861216399,0.9720735946462801,0.9720438825129305
Dataset_II,v5,0.001,0.2529699584826853,0.3013698630136986,0.4340983750548968,0.9703307785946085,0.9702886724782775,0.27859405482805333,0.2978723404255319,0.5474641731680923,0.9810688940823429,0.9809899107317414
Dataset_II,v6,10.0,0.9166523554795392,0.0,0.05,0.9999999999930131,0.9999999999930131,0.9166523554795392,0.0,0.05,0.9999999999930131,0.9999999999930131
Dataset_II,v6,1.0,0.9166523554795392,0.0,0.05,0.9999999999930131,0.9999999999930131,0.7600178453798545,0.3050847457627119,0.22099999999999997,0.99729098739817,0.99729098739817
Dataset_II,v6,0.1,0.3046818431103939,0.4857142857142857,0.3730000000000001,0.9842690652592232,0.9842688418736212,0.24979838706478555,0.6024096385542169,0.5168519184519185,0.9813841467935339,0.9813803562399723
Dataset_II,v6,0.01,0.22552359023494573,0.3548387096774194,0.4411661279896575,0.977948400472627,0.9779234420299179,0.24531415491011538,0.36486486486486486,0.49251036281068294,0.9782902075645291,0.9782535583097658
Dataset_II,v6,0.001,0.24377653633674068,0.32432432432432434,0.4312923364999102,0.9767655576978516,0.9767194868290567,0.32365506313393455,0.2733812949640288,0.5381880753300413,0.9832803369308749,0.9831986615054259
Dataset_II,v7,10.0,0.7925223780559116,0.0,0.05,0.9999999999924144,0.9999999999924144,0.7925223780559116,0.0,0.05,0.9999999999924144,0.9999999999924144
Dataset_II,v7,1.0,0.7925223780559116,0.0,0.05,0.9999999999924144,0.9999999999924144,0.7641381391862482,0.14814814814814814,0.126,0.9987681200420133,0.9987681200420133
Dataset_II,v7,0.1,0.40474588565817043,0.42857142857142855,0.3213504273504274,0.973492016128404,0.9734899018787254,0.3314737708330723,0.4835164835164835,0.44208200894392846,0.9729713802328651,0.9729585673396446
Dataset_II,v7,0.01,0.26638687812379325,0.3968253968253968,0.43378825899841866,0.9608230866492606,0.9607823592415329,0.3002846513674478,0.34210526315789475,0.4716312810231019,0.9661546573671982,0.9660983840562952
Dataset_II,v7,0.001,0.3331765290698465,0.29931972789115646,0.39384371021135733,0.9600839319806286,0.9600142480385302,0.3826394025613574,0.25203252032520324,0.4467634796463724,0.9792246208624015,0.9790983387420682
Dataset_II,v8,10.0,1.1531575275991228,0.0,0.05,0.9999999999937003,0.9999999999937003,1.1531575275991228,0.0,0.05,0.9999999999937003,0.9999999999937003
Dataset_II,v8,1.0,1.1531575275991228,0.0,0.05,0.9999999999937003,0.9999999999937003,0.9345161052970943,0.14814814814814814,0.126,0.9968941275290883,0.9968941275290883
